trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.1, 'e': 0.9038873549665952}",20,0,-36.61444209834356,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
102,False,"{'a': 0.1, 'e': 0.9029834676116286}",20,0,-126.51829387887874,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
103,False,"{'a': 0.1, 'e': 0.902080484144017}",20,0,-83.68428457287351,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
104,False,"{'a': 0.1, 'e': 0.901178403659873}",35,0,-49.9454026190964,"{0: 29, 1: 1, 2: 3, 3: 1, 4: 1}",0
105,False,"{'a': 0.1, 'e': 0.9002772252562131}",20,11,1.934682160169452,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.1, 'e': 0.8993769480309569}",30,0,-79.0302277459497,"{0: 16, 1: 8, 2: 6, 3: 0, 4: 0}",0
107,False,"{'a': 0.1, 'e': 0.8984775710829259}",25,0,-165.2021752117503,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
108,False,"{'a': 0.1, 'e': 0.8975790935118431}",30,0,-226.75880001308522,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
109,False,"{'a': 0.1, 'e': 0.8966815144183312}",20,0,-80.81055838844162,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
110,False,"{'a': 0.1, 'e': 0.8957848329039129}",20,0,-160.53627947714716,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
111,False,"{'a': 0.1, 'e': 0.894889048071009}",25,0,-32.76019621847069,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
112,False,"{'a': 0.1, 'e': 0.8939941590229379}",35,0,-184.78241311041552,"{0: 21, 1: 2, 2: 9, 3: 1, 4: 2}",0
113,False,"{'a': 0.1, 'e': 0.893100164863915}",20,0,-110.94613525129952,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
114,False,"{'a': 0.1, 'e': 0.8922070646990511}",30,0,-115.60490776370261,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
115,False,"{'a': 0.1, 'e': 0.891314857634352}",20,0,-172.12381952514806,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
116,False,"{'a': 0.1, 'e': 0.8904235427767176}",25,0,-99.54230703951933,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
117,False,"{'a': 0.1, 'e': 0.889533119233941}",30,3,-147.90541382992808,"{0: 13, 1: 5, 2: 6, 3: 2, 4: 1}",1
